dcid,sentence
Exports_EconomicActivity_GlycosidesNaturalOrReproducedBySynthesisAndTheir_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of glycosides natural or reproduced by synthesis and
Exports_EconomicActivity_GoldIncludingGoldPlatedWithPlatinumUnwroughtOrIn,Exports of gold including gold plated with platinum unwrought
Exports_EconomicActivity_GoldIncludingGoldPlatedWithPlatinumUnwroughtOrIn_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gold including gold plated with platinum unwrought
Exports_EconomicActivity_GrainSorghum,Exports of grain sorghum
Exports_EconomicActivity_GrainSorghum_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of grain sorghum
Exports_EconomicActivity_GranitePorphyryBasaltSandstoneOtherMonumentalAnd,Exports of granite porphyry basalt sandstone other monumental and
Exports_EconomicActivity_GranitePorphyryBasaltSandstoneOtherMonumentalAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of granite porphyry basalt sandstone other monumental and
Exports_EconomicActivity_GranulatedSlagSlagSandFromTheManufactureOfIronOr,Exports of granulated slag slag sand from the manufacture
Exports_EconomicActivity_GranulatedSlagSlagSandFromTheManufactureOfIronOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of granulated slag slag sand from the manufacture
Exports_EconomicActivity_GranulesAndPowdersOfPigIronSpiegeleisenIronOrSteel,Exports of granules and powders of pig iron spiegeleisen
Exports_EconomicActivity_GranulesAndPowdersOfPigIronSpiegeleisenIronOrSteel_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of granules and powders of pig iron spiegeleisen
Exports_EconomicActivity_GrapesFreshOrDried,Exports of grapes fresh or dried
Exports_EconomicActivity_GrapesFreshOrDried_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of grapes fresh or dried
Exports_EconomicActivity_GraphiteNatural,Exports of graphite natural
Exports_EconomicActivity_GraphiteNatural_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of graphite natural
Exports_EconomicActivity_GroundNutOilAndItsFractionsWhetherOrNotRefinedBut,Exports of ground nut oil and its fractions whether
Exports_EconomicActivity_GroundNutOilAndItsFractionsWhetherOrNotRefinedBut_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ground nut oil and its fractions whether
Exports_EconomicActivity_GroundNutsNotRoastedOrOtherwiseCookedWhetherOrNot,Exports of ground nuts not roasted or otherwise cooked
Exports_EconomicActivity_GroundNutsNotRoastedOrOtherwiseCookedWhetherOrNot_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ground nuts not roasted or otherwise cooked
Exports_EconomicActivity_GumWoodOrSulphateTurpentineOtherTerpenicOilsCrude,Exports of gum wood or sulphate turpentine other terpenic
Exports_EconomicActivity_GumWoodOrSulphateTurpentineOtherTerpenicOilsCrude_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gum wood or sulphate turpentine other terpenic
Exports_EconomicActivity_GutsBladdersAndStomachsOfAnimalsOtherThanFishWhole,Exports of guts bladders and stomachs of animals other
Exports_EconomicActivity_GutsBladdersAndStomachsOfAnimalsOtherThanFishWhole_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of guts bladders and stomachs of animals other
Exports_EconomicActivity_GymnasticsAthleticsOtherSportsIncludingTableTennis,Exports of gymnastics athletics other sports including table tennis
Exports_EconomicActivity_GymnasticsAthleticsOtherSportsIncludingTableTennis_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gymnastics athletics other sports including table tennis
Exports_EconomicActivity_GypsumAnhydritePlastersConsistingOfCalcinedGypsum,Exports of gypsum anhydrite plasters consisting of calcined gypsum
Exports_EconomicActivity_GypsumAnhydritePlastersConsistingOfCalcinedGypsum_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of gypsum anhydrite plasters consisting of calcined gypsum
Exports_EconomicActivity_HairPreparationsForUseOnTheHair,Exports of hair preparations for use on the hair
Exports_EconomicActivity_HairPreparationsForUseOnTheHair_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hair preparations for use on the hair
Exports_EconomicActivity_HalidesAndHalideOxidesOfNonMetals,Exports of halides and halide oxides of non metals
Exports_EconomicActivity_HalidesAndHalideOxidesOfNonMetals_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of halides and halide oxides of non metals
Exports_EconomicActivity_HalogenatedDerivativesOfHydrocarbons,Exports of halogenated derivatives of hydrocarbons
Exports_EconomicActivity_HalogenatedDerivativesOfHydrocarbons_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of halogenated derivatives of hydrocarbons
Exports_EconomicActivity_HandSievesAndHandRiddles9604,Exports of hand sieves and hand riddles
Exports_EconomicActivity_HandSievesAndHandRiddles9604_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hand sieves and hand riddles
Exports_EconomicActivity_HandkerchiefsNotKnittedOrCrocheted,Exports of handkerchiefs not knitted or crocheted
Exports_EconomicActivity_HandkerchiefsNotKnittedOrCrocheted_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of handkerchiefs not knitted or crocheted
Exports_EconomicActivity_HardRubberEGEboniteInAllFormsIncludingWasteAnd,Exports of hard rubber egebonite in all forms including
Exports_EconomicActivity_HardRubberEGEboniteInAllFormsIncludingWasteAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hard rubber egebonite in all forms including
Exports_EconomicActivity_HarvestingAndThreshingMachineryStrawAndFodder,Exports of harvesting and threshing machinery straw and fodder
Exports_EconomicActivity_HarvestingAndThreshingMachineryStrawAndFodder_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of harvesting and threshing machinery straw and fodder
Exports_EconomicActivity_HatFormsHatBodiesAndHoodsOfFeltNeitherBlockedT6501,Exports of hat forms hat bodies and hoods of
Exports_EconomicActivity_HatFormsHatBodiesAndHoodsOfFeltNeitherBlockedT6501_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hat forms hat bodies and hoods of
Exports_EconomicActivity_HatShapesPlaitedOrMadeByAssemblingStripsOfAny6502,Exports of hat shapes plaited or made by assembling
Exports_EconomicActivity_HatShapesPlaitedOrMadeByAssemblingStripsOfAny6502_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hat shapes plaited or made by assembling
Exports_EconomicActivity_HatsAndOtherHeadgearKnittedOrCrochetedOrMadeUp6505,Exports of hats and other headgear knitted or crocheted
Exports_EconomicActivity_HatsAndOtherHeadgearKnittedOrCrochetedOrMadeUp6505_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hats and other headgear knitted or crocheted
Exports_EconomicActivity_HatsAndOtherHeadgearPlaitedOrMadeByAssembling6504,Exports of hats and other headgear plaited or made
Exports_EconomicActivity_HatsAndOtherHeadgearPlaitedOrMadeByAssembling6504_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hats and other headgear plaited or made
Exports_EconomicActivity_HeadBandsLiningsCoversHatFoundationsHatFramesP6507,Exports of head bands linings covers hat foundations hat
Exports_EconomicActivity_HeadBandsLiningsCoversHatFoundationsHatFramesP6507_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of head bands linings covers hat foundations hat
Exports_EconomicActivity_HeadgearAndPartsThereof,Exports of headgear and parts thereof
Exports_EconomicActivity_HeadgearAndPartsThereof_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of headgear and parts thereof
Exports_EconomicActivity_HeadgearNECInChapter65WhetherOrNotLinedOrTrimmed,Exports of headgear necin chapter65whether or not lined or
Exports_EconomicActivity_HeadgearNECInChapter65WhetherOrNotLinedOrTrimmed_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of headgear necin chapter65whether or not lined or
Exports_EconomicActivity_HeterocyclicCompoundsWithNitrogenHeteroAtomSOn2933,Exports of heterocyclic compounds with nitrogen hetero atom son
Exports_EconomicActivity_HeterocyclicCompoundsWithNitrogenHeteroAtomSOn2933_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of heterocyclic compounds with nitrogen hetero atom son
Exports_EconomicActivity_HeterocyclicCompoundsWithOxygenHeteroAtomSOnly2932,Exports of heterocyclic compounds with oxygen hetero atom sonly
Exports_EconomicActivity_HeterocyclicCompoundsWithOxygenHeteroAtomSOnly2932_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of heterocyclic compounds with oxygen hetero atom sonly
Exports_EconomicActivity_HoneyNatural0409,Exports of honey natural
Exports_EconomicActivity_HoneyNatural0409_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of honey natural
Exports_EconomicActivity_HoopwoodSplitPolesPilesPicketsStakesOfWoodPointed,Exports of hoopwood split poles piles pickets stakes of
Exports_EconomicActivity_HoopwoodSplitPolesPilesPicketsStakesOfWoodPointed_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hoopwood split poles piles pickets stakes of
Exports_EconomicActivity_HopConesFreshOrDriedWhetherOrNotGroundPowderedOrIn,Exports of hop cones fresh or dried whether or
Exports_EconomicActivity_HopConesFreshOrDriedWhetherOrNotGroundPowderedOrIn_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hop cones fresh or dried whether or
Exports_EconomicActivity_HormonesProstaglandinsThromboxanesAndLeukotrie2937,Exports of hormones prostaglandins thromboxanes and leukotrie
Exports_EconomicActivity_HormonesProstaglandinsThromboxanesAndLeukotrie2937_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hormones prostaglandins thromboxanes and leukotrie
Exports_EconomicActivity_HorsesAssesMulesAndHinniesLive,Exports of horses asses mules and hinnies live
Exports_EconomicActivity_HorsesAssesMulesAndHinniesLive_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of horses asses mules and hinnies live
Exports_EconomicActivity_HosieryPantyHoseTightsStockingsSocksAndOther,Exports of hosiery panty hose tights stockings socks and
Exports_EconomicActivity_HosieryPantyHoseTightsStockingsSocksAndOther_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hosiery panty hose tights stockings socks and
Exports_EconomicActivity_HouseholdOrLaundryTypeWashingMachinesIncluding,Exports of household or laundry type washing machines including
Exports_EconomicActivity_HouseholdOrLaundryTypeWashingMachinesIncluding_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of household or laundry type washing machines including
Exports_EconomicActivity_HumanBloodAnimalBloodForTherapeuticProphylacticOr,Exports of human blood animal blood for therapeutic prophylactic
Exports_EconomicActivity_HumanBloodAnimalBloodForTherapeuticProphylacticOr_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of human blood animal blood for therapeutic prophylactic
Exports_EconomicActivity_HumanHairDressedThinnedBleachedOrOtherwiseWork6703,Exports of human hair dressed thinned bleached or otherwise
Exports_EconomicActivity_HumanHairDressedThinnedBleachedOrOtherwiseWork6703_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of human hair dressed thinned bleached or otherwise
Exports_EconomicActivity_HumanHairUnworkedWhetherOrNotWashedOrScouredWaste,Exports of human hair unworked whether or not washed
Exports_EconomicActivity_HumanHairUnworkedWhetherOrNotWashedOrScouredWaste_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of human hair unworked whether or not washed
Exports_EconomicActivity_HydraulicBrakeFluidsAndOtherPreparedLiquidsFor,Exports of hydraulic brake fluids and other prepared liquids
Exports_EconomicActivity_HydraulicBrakeFluidsAndOtherPreparedLiquidsFor_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydraulic brake fluids and other prepared liquids
Exports_EconomicActivity_HydrazineAndHydroxylamineAndTheirInorganicSalt2825,Exports of hydrazine and hydroxylamine and their inorganic salt
Exports_EconomicActivity_HydrazineAndHydroxylamineAndTheirInorganicSalt2825_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydrazine and hydroxylamine and their inorganic salt
Exports_EconomicActivity_HydridesNitridesAzidesSilicidesAndBoridesWheth2850,Exports of hydrides nitrides azides silicides and borides wheth
Exports_EconomicActivity_HydridesNitridesAzidesSilicidesAndBoridesWheth2850_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydrides nitrides azides silicides and borides wheth
Exports_EconomicActivity_HydrogenChlorideHydrochloricAcidChlorosulphuric,Exports of hydrogen chloride hydrochloric acid chlorosulphuric
Exports_EconomicActivity_HydrogenChlorideHydrochloricAcidChlorosulphuric_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydrogen chloride hydrochloric acid chlorosulphuric
Exports_EconomicActivity_HydrogenPeroxideWhetherOrNotSolidifiedWithUrea2847,Exports of hydrogen peroxide whether or not solidified with
Exports_EconomicActivity_HydrogenPeroxideWhetherOrNotSolidifiedWithUrea2847_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydrogen peroxide whether or not solidified with
Exports_EconomicActivity_HydrogenRareGasesAndOtherNonMetals,Exports of hydrogen rare gases and other non metals
Exports_EconomicActivity_HydrogenRareGasesAndOtherNonMetals_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydrogen rare gases and other non metals
Exports_EconomicActivity_HydrometersAndSimilarFloatingInstruments9025,Exports of hydrometers and similar floating instruments
Exports_EconomicActivity_HydrometersAndSimilarFloatingInstruments9025_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydrometers and similar floating instruments
Exports_EconomicActivity_HydroxideAndPeroxideOfMagnesiumOxidesHydroxidesAnd,Exports of hydroxide and peroxide of magnesium oxides hydroxides
Exports_EconomicActivity_HydroxideAndPeroxideOfMagnesiumOxidesHydroxidesAnd_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hydroxide and peroxide of magnesium oxides hydroxides
Exports_EconomicActivity_HygienicOrPharmaceuticalArticlesIncludingTeatsOf,Exports of hygienic or pharmaceutical articles including teats of
Exports_EconomicActivity_HygienicOrPharmaceuticalArticlesIncludingTeatsOf_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hygienic or pharmaceutical articles including teats of
Exports_EconomicActivity_HypochloritesCommercialCalciumHypochlorite,Exports of hypochlorites commercial calcium hypochlorite
Exports_EconomicActivity_HypochloritesCommercialCalciumHypochlorite_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of hypochlorites commercial calcium hypochlorite
Exports_EconomicActivity_IceCreamAndOtherEdibleIceWhetherOrNotContainin2105,Exports of ice cream and other edible ice whether
Exports_EconomicActivity_IceCreamAndOtherEdibleIceWhetherOrNotContainin2105_AsAFractionOf_Exports_EconomicActivity,Percentage of exports of ice cream and other edible ice whether
